RecordCounter,HeaderID,VTAGNO,REC,POT_NO,POT_TYPE_ID,DAY_PULL,CLENGTH,SEX,COLOUR,SETOSE,OLD_ANT,OLD_LEGS,NEW_ANT,NEW_LEGS,REG_ANT,REG_LEGS,REMARKS,Pot.Remarks,PWO,WKW,PWF,y,m,d,Longitude,Latitude
976602,14777,V190693,1,12,8,1,56.09999847,F,R,NA,NA,NA,NA,NA,NA,NA,PLEO #1,,,,,2018,3,13,114.887817,-29.171072
976603,14777,V190692,NA,12,8,1,45.29999924,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,3,13,114.887817,-29.171072
976604,14777,V190417,1,12,8,1,44.09999847,F,R,NA,NA,NA,NA,NA,NA,NA,PLEO #1,,,,,2018,3,13,114.887817,-29.171072
976605,14777,V190691,NA,12,8,1,75.30000305,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,3,13,114.887817,-29.171072
976606,14777,V190690,NA,12,8,1,41.09999847,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,3,13,114.887817,-29.171072
976607,14777,V190689,NA,12,8,1,47.40000153,M,R,NA,NA,2,NA,NA,NA,NA,NA,,,,,2018,3,13,114.887817,-29.171072
976608,14777,V190688,NA,12,8,1,37,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,3,13,114.887817,-29.171072
976609,14777,V190687,NA,12,8,1,43.40000153,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,3,13,114.887817,-29.171072
976610,14777,V190686,NA,12,8,1,40.29999924,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,3,13,114.887817,-29.171072
976611,14795,V190652,NA,1,8,1,88.09999847,M,R,NA,NA,NA,NA,NA,NA,2,NA,,,,,2018,3,14,114.887817,-29.171072
976612,14795,V190653,NA,1,8,1,41.5,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,3,14,114.887817,-29.171072
976613,14795,V190480,1,2,8,1,53.20000076,M,R,NA,NA,NA,NA,NA,NA,NA,PLEO #1,,,,,2018,3,14,114.887817,-29.171072
976614,14795,VK0350,1,2,8,1,84.19999695,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,3,14,114.887817,-29.171072
976615,14795,V190654,NA,2,8,1,60.79999924,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,3,14,114.887817,-29.171072
976616,14795,V190655,NA,2,8,1,55.40000153,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,3,14,114.887817,-29.171072
976617,14795,V190657,NA,2,8,1,62.20000076,F,R,NA,NA,NA,NA,1,NA,NA,NA,,,,,2018,3,14,114.887817,-29.171072
976618,14795,V190043,1,2,8,1,65.90000153,M,R,NA,NA,NA,NA,NA,NA,NA,PLEO #4,,,,,2018,3,14,114.887817,-29.171072
976619,14795,V190498,1,2,8,1,69.30000305,F,R,NA,NA,NA,NA,NA,NA,NA,PLEO # 1,,,,,2018,3,14,114.887817,-29.171072
976620,14795,V190661,NA,2,8,1,64.09999847,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,3,14,114.887817,-29.171072
976621,14795,V190662,NA,2,8,1,44.29999924,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,3,14,114.887817,-29.171072
976622,14795,V190664,NA,2,8,1,61,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,3,14,114.887817,-29.171072
976623,14795,V190665,NA,2,8,1,67.69999695,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,3,14,114.887817,-29.171072
976624,14795,V190666,NA,2,8,1,41.70000076,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,3,14,114.887817,-29.171072
976625,14795,V190668,NA,2,8,1,39.90000153,F,R,NA,NA,NA,1,NA,NA,NA,NA,,,,,2018,3,14,114.887817,-29.171072
976626,14795,V190669,NA,2,8,1,41.5,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,3,14,114.887817,-29.171072
976627,14795,V190535,1,2,8,1,72,M,R,NA,NA,NA,NA,NA,NA,NA,PLEO #1,,,,,2018,3,14,114.887817,-29.171072
976628,14795,V190670,NA,2,8,1,69,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,3,14,114.887817,-29.171072
976629,14795,V190671,NA,2,8,1,46,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,3,14,114.887817,-29.171072
974638,14726,V177752,NA,2,8,1,67.69999695,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974639,14726,V177753,NA,2,8,1,60.09999847,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974640,14726,V177754,NA,2,8,1,52.79999924,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974641,14726,V177755,NA,2,8,1,46.40000153,F,R,NA,NA,NA,NA,1,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974642,14726,V177756,NA,2,8,1,45.79999924,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974643,14726,V177757,NA,2,8,1,52.5,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974644,14726,V177758,NA,2,8,1,46.79999924,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974645,14726,V177759,NA,2,8,1,55.29999924,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974646,14726,V177760,NA,1,8,1,69.30000305,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974647,14726,V177761,NA,1,8,1,65.80000305,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974648,14726,V177762,NA,1,8,1,71.59999847,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974649,14726,NA,NA,1,8,1,35.20000076,F,R,NA,NA,NA,NA,NA,NA,NA,PLEO 7&8 TAKEN,,,,,2018,2,7,114.887817,-29.171072
974650,14726,V177763,NA,1,8,1,45.59999847,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974651,14726,V177764,NA,1,8,1,47,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974652,14726,V177765,NA,1,8,1,45.59999847,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974653,14726,V177766,NA,1,8,1,58.20000076,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974654,14726,NA,NA,1,8,1,38.79999924,M,R,NA,NA,NA,NA,NA,NA,NA,PLEO 7&8 TAKEN,,,,,2018,2,7,114.887817,-29.171072
974655,14726,V177767,NA,3,8,1,76.19999695,M,R,NA,NA,NA,NA,1,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974656,14726,V177768,NA,3,8,1,60.20000076,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974657,14726,V190225,1,3,8,1,53.90000153,F,R,NA,NA,NA,NA,NA,NA,NA,PLEO #4,,,,,2018,2,7,114.887817,-29.171072
974658,14726,V177770,NA,3,8,1,67,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974659,14726,V190123,1,3,8,1,59.20000076,F,R,NA,NA,NA,NA,NA,NA,NA,PLEO #1 ,,,,,2018,2,7,114.887817,-29.171072
974660,14726,V177772,NA,3,8,1,49.5,F,R,NA,NA,NA,1,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974661,14726,V177773,NA,3,8,1,47.90000153,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974662,14726,V177774,NA,3,8,1,57.09999847,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974663,14726,V177776,NA,4,8,1,50.59999847,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974664,14726,V177777,NA,4,8,1,54.40000153,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974665,14726,V177781,NA,4,8,1,53.5,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974666,14726,V177782,NA,4,8,1,50.90000153,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974667,14726,V177783,NA,4,8,1,46.09999847,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974668,14726,V177784,NA,4,8,1,56.90000153,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974669,14726,V177785,NA,4,8,1,57.20000076,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974670,14726,V177787,NA,4,8,1,60.29999924,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974671,14726,V177788,NA,5,8,1,67.90000153,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974672,14726,V190140,1,5,8,1,54.09999847,M,R,NA,NA,NA,NA,NA,NA,NA,PLEO #4 ,,,,,2018,2,7,114.887817,-29.171072
974673,14726,V177789,NA,5,8,1,44.70000076,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974674,14726,V190240,1,5,8,1,58,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974675,14726,V177790,NA,5,8,1,56.5,M,R,NA,NA,NA,1,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974676,14726,V177791,NA,5,8,1,52,M,R,NA,NA,NA,1,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974677,14726,V177792,NA,5,8,1,43.09999847,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974678,14726,V177793,NA,5,8,1,64.30000305,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974679,14726,V177794,NA,5,8,1,57.70000076,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974680,14726,V177795,NA,5,8,1,64.30000305,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974681,14726,V177796,NA,5,8,1,53.40000153,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974682,14726,V177797,NA,5,8,1,58.59999847,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974683,14726,V177798,NA,5,8,1,42.40000153,M,R,NA,NA,NA,NA,NA,NA,NA,PLEO #1,,,,,2018,2,7,114.887817,-29.171072
974684,14726,V177799,NA,5,8,1,63,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974685,14726,V177800,NA,5,8,1,43.20000076,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974686,14726,V190251,NA,5,8,1,60,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974687,14726,V190252,NA,5,8,1,51.29999924,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974688,14726,V190253,NA,5,8,1,43.09999847,M,R,NA,NA,NA,1,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974689,14726,V190255,NA,5,8,1,49.79999924,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974690,14726,V190256,NA,5,8,1,49.40000153,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974691,14726,V190257,NA,6,8,1,65.80000305,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974692,14726,V190258,NA,6,8,1,65.80000305,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974693,14726,V190259,NA,6,8,1,63.59999847,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974751,14726,V190260,NA,6,8,1,52.79999924,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974752,14726,V190249,1,6,8,1,78.40000153,M,R,NA,NA,NA,NA,NA,NA,2,PLEO #4 ,,,,,2018,2,7,114.887817,-29.171072
974753,14726,V190261,NA,6,8,1,45.90000153,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974754,14726,V190262,NA,6,8,1,56.90000153,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974755,14726,V190263,NA,6,8,1,60.79999924,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974756,14726,V190264,NA,6,8,1,55.09999847,F,R,NA,NA,1,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974757,14726,V190265,NA,7,8,1,69.5,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974758,14726,V190267,NA,7,8,1,66,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974759,14726,V190014,1,7,8,1,56.70000076,F,R,NA,NA,NA,NA,NA,NA,NA,PLEO #4,,,,,2018,2,7,114.887817,-29.171072
974760,14726,V190271,NA,7,8,1,56.90000153,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974761,14726,V190269,NA,7,8,1,62.70000076,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974762,14726,V190270,NA,7,8,1,42.09999847,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974763,14726,V190057,1,7,8,1,59.09999847,F,R,NA,NA,NA,NA,NA,NA,NA,PLEO #4 ,,,,,2018,2,7,114.887817,-29.171072
974764,14726,V190102,1,7,8,1,73.19999695,M,R,NA,NA,NA,NA,NA,NA,NA,PLEO # 4 PLEO #7 ,,,,,2018,2,7,114.887817,-29.171072
974765,14726,V190272,NA,7,8,1,75.30000305,M,R,NA,NA,NA,NA,NA,NA,NA,PLEO #4 Tag scar,,,,,2018,2,7,114.887817,-29.171072
974766,14726,V190273,NA,7,8,1,63.09999847,F,R,NA,NA,NA,1,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974767,14726,V190009,1,7,8,1,70.59999847,F,R,NA,NA,NA,NA,NA,NA,NA,"PLEO #4, #8 ",,,,,2018,2,7,114.887817,-29.171072
974768,14726,V190275,NA,7,8,1,65.09999847,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974769,14726,V190276,NA,7,8,1,64.5,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974770,14726,V190277,NA,7,8,1,58.29999924,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974771,14726,V190278,NA,7,8,1,62.70000076,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974772,14726,V190279,NA,7,8,1,75.59999847,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974773,14726,V190280,NA,7,8,1,64.09999847,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974774,14726,V190282,NA,7,8,1,63.79999924,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974775,14726,V190283,NA,7,8,1,47.70000076,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974776,14726,V190025,1,8,8,1,68,F,R,NA,NA,NA,NA,NA,NA,NA,PLEO #4 ,,,,,2018,2,7,114.887817,-29.171072
974777,14726,V190284,NA,8,8,1,62.29999924,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974778,14726,V190286,NA,8,8,1,50.20000076,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974779,14726,V190287,NA,8,8,1,44.29999924,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974780,14726,V190288,NA,8,8,1,55.09999847,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974781,14726,V190289,NA,8,8,1,65.5,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974782,14726,V190290,NA,8,8,1,54.09999847,F,R,NA,NA,NA,NA,NA,NA,NA,PLEO #2 ,,,,,2018,2,7,114.887817,-29.171072
974783,14726,V190291,NA,8,8,1,49.59999847,M,R,NA,NA,NA,1,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974784,14726,V190292,NA,8,8,1,56,F,R,NA,NA,NA,NA,NA,NA,NA,PLEO #5 ,,,,,2018,2,7,114.887817,-29.171072
974785,14726,V190293,NA,8,8,1,55.79999924,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974786,14726,V190294,NA,8,8,1,58.40000153,M,R,NA,NA,1,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974787,14726,V190295,NA,8,8,1,66.40000153,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974788,14726,V190296,NA,8,8,1,56.79999924,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974789,14726,V190297,NA,8,8,1,55.5,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974790,14726,V190298,NA,8,8,1,48.59999847,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974791,14726,V190299,NA,8,8,1,47.5,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974792,14726,V190300,NA,8,8,1,54.90000153,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974793,14726,NA,NA,8,8,1,37.70000076,M,R,NA,NA,NA,NA,NA,NA,NA,TAKEN 7 & 8 PLEO,,,,,2018,2,7,114.887817,-29.171072
974794,14726,V190301,NA,8,8,1,45.59999847,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974795,14726,V190302,NA,8,8,1,55.79999924,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974796,14726,V190303,NA,9,8,1,40.5,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974797,14726,V190001,1,10,8,1,72.90000153,F,R,NA,NA,NA,NA,NA,NA,NA,PLEO #4 ,,,,,2018,2,7,114.887817,-29.171072
974798,14726,V190304,NA,10,8,1,60.70000076,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974799,14726,V190305,NA,10,8,1,59.70000076,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974800,14726,V190306,NA,10,8,1,58.79999924,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974801,14726,V190307,NA,10,8,1,46.70000076,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974802,14726,NA,NA,10,8,1,37.59999847,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974803,14726,V190308,NA,10,8,1,62,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974804,14726,V190309,NA,10,8,1,63.20000076,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974805,14726,V190310,NA,10,8,1,56,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974806,14726,V190311,NA,10,8,1,45.5,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974807,14726,V190313,NA,10,8,1,38.79999924,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974808,14726,V190350,NA,10,8,1,55.09999847,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974809,14726,V190015,1,10,8,1,58.59999847,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974810,14726,V190347,NA,10,8,1,45.70000076,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974811,14726,V190351,NA,10,8,1,59.09999847,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974812,14726,V190353,NA,10,8,1,62.29999924,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974813,14726,V190354,NA,10,8,1,65.09999847,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974814,14726,V190355,NA,10,8,1,44.5,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974815,14726,V190356,NA,11,8,1,60,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,7,114.887817,-29.171072
974816,14726,V190357,NA,12,8,1,47.79999924,M,R,NA,NA,NA,NA,NA,NA,NA,K205,,,,,2018,2,7,114.887817,-29.171072
974817,14726,V190358,NA,12,8,1,55.29999924,F,R,NA,NA,NA,NA,NA,NA,NA,K205,,,,,2018,2,7,114.887817,-29.171072
974818,14726,V190400,NA,12,8,1,56.20000076,M,R,NA,NA,NA,NA,NA,NA,NA,K205,,,,,2018,2,7,114.887817,-29.171072
974821,14726,V190397,NA,12,8,1,62.40000153,M,R,NA,NA,NA,NA,NA,NA,NA,K205,,,,,2018,2,7,114.887817,-29.171072
974822,14726,V190395,NA,12,8,1,59.40000153,M,R,NA,NA,NA,NA,NA,NA,NA,K205,,,,,2018,2,7,114.887817,-29.171072
974823,14726,V190394,NA,12,8,1,57,M,R,NA,1,NA,NA,NA,NA,NA,K205,,,,,2018,2,7,114.887817,-29.171072
974824,14726,V190393,NA,12,8,1,41.59999847,M,R,NA,NA,NA,1,NA,NA,NA,K205,,,,,2018,2,7,114.887817,-29.171072
974825,14726,V190392,NA,12,8,1,38.59999847,M,R,NA,NA,NA,NA,NA,NA,NA,K205,,,,,2018,2,7,114.887817,-29.171072
974826,14726,V190361,NA,12,8,1,50,M,R,NA,NA,NA,NA,NA,NA,NA,K205,,,,,2018,2,7,114.887817,-29.171072
974819,14726,V190399,NA,12,8,1,48.09999847,M,R,NA,NA,NA,NA,NA,NA,NA,K205,,,,,2018,2,7,114.887817,-29.171072
974820,14726,V190398,NA,12,8,1,60.79999924,F,R,NA,NA,NA,NA,NA,NA,NA,K205,,,,,2018,2,7,114.887817,-29.171072
974827,14728,V177768,1,1,8,1,60.40000153,F,R,NA,NA,NA,NA,NA,NA,NA,PLEO #4 ,,,,,2018,2,8,114.887817,-29.171072
974828,14728,V190362,NA,1,8,1,55.09999847,F,R,NA,NA,3,NA,NA,NA,NA,NA,,,,,2018,2,8,114.887817,-29.171072
974829,14728,V177759,1,1,8,1,55,M,R,NA,NA,NA,NA,NA,NA,NA,PLEO #4 ,,,,,2018,2,8,114.887817,-29.171072
974830,14728,V190118,1,1,8,1,52.90000153,F,R,NA,NA,NA,NA,NA,NA,NA,PLEO #4 ,,,,,2018,2,8,114.887817,-29.171072
974831,14728,V190123,1,1,8,1,59.5,F,R,NA,NA,NA,NA,NA,NA,NA,PLEO #1 ,,,,,2018,2,8,114.887817,-29.171072
974832,14728,V190450,NA,1,8,1,53,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,8,114.887817,-29.171072
974833,14728,V190449,NA,1,8,1,53,F,R,NA,NA,1,NA,NA,NA,NA,NA,,,,,2018,2,8,114.887817,-29.171072
974834,14728,V190448,NA,1,8,1,44.70000076,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,8,114.887817,-29.171072
974835,14728,V190447,NA,1,8,1,48.90000153,F,R,NA,NA,NA,NA,NA,NA,NA,PLEO #1 ,,,,,2018,2,8,114.887817,-29.171072
974836,14728,V117753,NA,1,8,1,59.5,M,R,NA,NA,NA,NA,NA,NA,NA,PLEO #1 ,,,,,2018,2,8,114.887817,-29.171072
974837,14728,V117760,NA,1,8,1,69,M,R,NA,NA,NA,NA,NA,NA,NA,PLEO #1,,,,,2018,2,8,114.887817,-29.171072
974838,14728,V190446,NA,1,8,1,39.79999924,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,8,114.887817,-29.171072
974839,14728,V190445,NA,1,8,1,45.40000153,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,8,114.887817,-29.171072
974840,14728,V190444,NA,1,8,1,40.70000076,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,8,114.887817,-29.171072
974841,14728,V190443,NA,1,8,1,52.5,F,R,NA,NA,NA,1,NA,NA,NA,NA,,,,,2018,2,8,114.887817,-29.171072
974842,14728,V190442,NA,1,8,1,46.40000153,M,R,NA,NA,1,NA,NA,NA,NA,NA,,,,,2018,2,8,114.887817,-29.171072
974843,14728,V190441,NA,1,8,1,37.70000076,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,8,114.887817,-29.171072
974844,14728,V190440,NA,2,8,1,61.59999847,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,8,114.887817,-29.171072
974845,14728,V190439,NA,2,8,1,43.70000076,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,8,114.887817,-29.171072
974846,14728,V190438,NA,2,8,1,56.29999924,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,8,114.887817,-29.171072
974847,14728,V190437,NA,2,8,1,69,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,8,114.887817,-29.171072
974848,14728,V190436,NA,2,8,1,42.79999924,F,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,8,114.887817,-29.171072
974849,14728,V190435,NA,2,8,1,56.59999847,M,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2018,2,8,114.887817,-29.171072
974850,14728,V177754,1,2,8,1,52.5,M,R,NA,NA,NA,NA,NA,NA,NA,PLEO #1 ,,,,,2018,2,8,114.887817,-29.171072
